# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	745395
#@/user_id	609eb46f-9fbb-457e-a6d7-e0f6bbed9cc1
a 	啊	c=55 d=0.1 t=726491
zhe teng sha 	折騰啥	c=1 d=1 t=528784
zhe teng si 	折騰死	c=1 d=1 t=46262
zhe ti 	摺梯	c=0 d=0.1 t=539776
zhe ti shang 	摺梯上	c=1 d=1 t=539777
zhe tian 	這天	c=1 d=1 t=126693
zhe tiao 	這條	c=4 d=1 t=623340
zhe tiao lu 	這條路	c=1 d=1 t=517895
zhe tiao xiao xi 	這條消息	c=1 d=1 t=398595
zhe wei 	這位	c=3 d=1 t=572308
zhe xi 	浙西	c=3 d=1 t=668374
zhe xi er 	浙西兒	c=1 d=1 t=127161
zhe xia 	這下	c=1 d=1 t=604270
zhe xian 	折線	c=4 d=1 t=399129
zhe xie 	這些	c=606 d=2.02762 t=743007
zhe xie bao gao 	這些報告	c=1 d=1 t=640791
zhe xie cheng ji 	這些成績	c=1 d=1 t=111364
zhe xie nian 	這些年	c=1 d=1 t=272062
zhe xie ren 	這些人	c=8 d=1 t=662013
zhe xie shi qing 	着些事情	c=1 d=1 t=50020
zhe xue 	哲學	c=3 d=1.9802 t=467660
zhe yang 	這樣	c=27 d=1 t=686852
zhe yang ba 	這樣吧	c=1 d=1 t=741563
zhe yang da 	這樣打	c=1 d=1 t=545344
zhe yang zi 	這樣子	c=303 d=1.0224 t=743667
zhe yang zi de 	這樣子的	c=5 d=1 t=739952
zhe yang zi ne 	這樣子呢	c=1 d=1 t=690421
zhe ye 	這也	c=5 d=1 t=578855
zhe ye ke yi 	這也可以	c=2 d=1 t=85050
zhe ye neng 	這也能	c=1 d=1 t=121188
zhe ye shi 	這也是	c=13 d=1 t=702830
zhe ye shi yan 	這也是言	c=1 d=1 t=536111
zhe ye shu yu 	這也屬於	c=1 d=1 t=440612
zhe ye yong 	這也用	c=1 d=1 t=23593
zhe ye you ying xiang 	這也有影響	c=1 d=1 t=118869
zhe yi 	這一	c=0 d=0.1 t=478180
zhe yi bu 	這一步	c=4 d=1 t=493399
zhe yi ce 	這一側	c=2 d=1 t=499741
zhe yi ceng 	這一層	c=7 d=1.91393 t=739711
zhe yi chang 	這一場	c=2 d=1.00047 t=166772
zhe yi ci 	這一次	c=2 d=1 t=244626
zhe yi dian 	這一點	c=2 d=1 t=633736
zhe yi dian er 	這一點兒	c=5 d=1 t=633745
zhe yi ge 	這一個	c=7 d=1 t=669516
zhe yi ge yue 	這一個月	c=1 d=1 t=94963
zhe yi guan 	這一關	c=1 d=1 t=296462
zhe yi lei 	這一類	c=2 d=1 t=91753
zhe yi lie 	這一列	c=1 d=1 t=255192
zhe yi lun 	這一輪	c=9 d=1 t=656604
zhe yi pi 	這一批	c=1 d=1 t=504289
zhe yi shuo 	這一說	c=4 d=1 t=679003
zhe yi tian 	這一天	c=2 d=1 t=500960
zhe yi tiao 	這一條	c=1 d=1 t=128103
zhe yi zhou 	這一週	c=2 d=1 t=599331
zhe ying gai 	這應該	c=1 d=1 t=415054
zhe you 	這又	c=0 d=0.1 t=46430
zhe you 	這有	c=1 d=1 t=3305
zhe you sha 	這有啥	c=1 d=1 t=24865
zhe you shi 	這又是	c=1 d=1 t=46431
zhe yue deng yu 	着約等於	c=1 d=1 t=449089
zhe zai 	這在	c=1 d=1 t=330127
zhe zhang tu 	這張圖	c=2 d=1 t=272278
zhe zhao 	遮罩	c=1 d=1 t=678399
zhe zhong 	折中	c=5 d=1 t=452477
zhe zhong 	折衷	c=1 d=1 t=656595
zhe zhong 	這種	c=350 d=2.54974 t=744760
zhe zhong fang an 	折衷方案	c=1 d=1 t=32856
zhe zhong guan xi 	這種關係	c=1 d=1 t=708239
zhe zhong he zuo 	這種合作	c=1 d=1 t=376859
zhe zhong hui 	這種會	c=1 d=1 t=87722
zhe zhong mao bing 	這種毛病	c=1 d=1 t=448362
zhe zhong qing kuang 	這種情況	c=1 d=1 t=718396
zhe zhong ren 	這種人	c=2 d=1 t=185354
zhe zhong xing wei 	這種行爲	c=1 d=1 t=174475
zhe zhou 	褶皺	c=30 d=1 t=667175
zhe zhou 	這週	c=92 d=1.00002 t=712570
zhe zhou liu 	這週六	c=1 d=1 t=636601
zhe zhou si 	這週四	c=2 d=1 t=649390
zhe zhou wu 	這週五	c=1 d=1 t=376946
zhei e 	這哦	c=1 d=1 t=693685
zhen 	幀	c=4 d=1 t=722550
zhen 	振	c=25 d=1 t=668489
zhen 	真	c=176 d=1 t=739644
zhen 	臻	c=1 d=1 t=158747
zhen 	針	c=2 d=1 t=605764
zhen 	鎮	c=3 d=1 t=571344
zhen 	震	c=5 d=1 t=398535
zhen ai 	真愛	c=1 d=1 t=262354
zhen bu 	真不	c=0 d=0.1 t=498406
zhen bu fen 	真部分	c=1 d=1 t=668105
zhen bu hao 	真不好	c=1 d=1 t=225595
zhen bu neng 	真不能	c=1 d=1 t=37971
zhen bu rong yi 	真不容易	c=2 d=1 t=538784
zhen bu shi 	真不是	c=1 d=1 t=202332
zhen bu tai 	真不太	c=1 d=1 t=545936
zhen bu tai da 	真不太大	c=1 d=1 t=498407
zhen bu xing 	真不行	c=1 d=1 t=118491
zhen cheng 	真誠	c=2 d=1 t=106074
zhen da 	真大	c=2 d=1 t=452098
zhen de 	真的	c=1 d=1 t=729040
zhen de bi 	真的比	c=1 d=1 t=692825
zhen di 	陣地	c=2 d=1 t=664553
zhen du 	鴆毒	c=1 d=1 t=252931
zhen du xiang 	镇渡乡	c=1 d=1 t=263758
zhen duan 	診斷	c=3 d=1 t=620575
zhen dui 	針對	c=196 d=3.46364 t=740377
zhen dui xing 	針對性	c=12 d=1 t=543683
zhen duo 	真多	c=2 d=1 t=567886
zhen fa 	陣法	c=0 d=0.1 t=320345
zhen fa mei guo 	陣法美國	c=1 d=1 t=320346
zhen gao 	唇膏	c=1 d=1 t=27409
zhen gao ji 	真高級	c=1 d=1 t=368083
zhen ge 	真個	c=9 d=1 t=694844
zhen hao 	真好	c=2 d=1 t=612729
zhen ji 	真機	c=11 d=1.02226 t=443606
zhen jing 	震驚	c=2 d=1 t=435863
zhen kuai 	真快	c=2 d=1 t=316536
zhen li 	真理	c=1 d=1 t=562543
zhen luan 	真亂	c=2 d=1 t=714892
zhen lv 	帧率	c=2 d=1 t=217054
zhen ming 	真名	c=3 d=1 t=410345
zhen nan 	真難	c=1 d=1 t=640078
zhen ren 	真人	c=5 d=1 t=448808
zhen shan 	真山	c=3 d=1 t=270380
zhen shi 	真實	c=31 d=1 t=705257
zhen shi 	真是	c=2 d=1 t=699796
zhen shi xing 	真實性	c=1 d=1 t=23900
zhen suo 	診所	c=3 d=1 t=623841
zhen ti 	真題	c=2 d=1 t=591403
zhen wang 	陣亡	c=1 d=1 t=696172
zhen xi 	珍惜	c=1 d=1 t=492627
zhen xiang 	真相	c=4 d=1 t=523990
zhen xiang 	真香	c=1 d=1 t=372361
zhen xin 	真心	c=1 d=1 t=125510
zhen ya 	鎮壓	c=1 d=1 t=444762
zhen yao 	真要	c=1 d=1 t=325056
zhen you 	真有	c=3 d=1 t=514694
zhen zheng 	真正	c=57 d=1.00366 t=721310
zhen zhong 	珍重	c=1 d=1 t=437892
zhen zhuo 	斟酌	c=2 d=1 t=742743
zheng 	崢	c=3 d=1 t=610127
zheng 	徵	c=2 d=1 t=455454
zheng 	掙	c=0 d=0.1 t=165724
zheng 	政	c=26 d=1 t=695353
zheng 	整	c=17 d=1.37719 t=690547
zheng 	正	c=9 d=1 t=695354
zheng 	證	c=3 d=0.1 t=710135
zheng 	鄭	c=7 d=1.98511 t=618332
zheng 	錚	c=1 d=1 t=237434
zheng ce 	政策	c=94 d=1 t=722915
zheng chang 	正常	c=345 d=1.1902 t=745323
zheng chang ren 	正常人	c=2 d=1 t=631294
zheng chang yong 	正常用	c=1 d=1 t=666936
zheng da 	正大	c=1 d=1 t=378914
zheng dang xing 	正當性	c=1 d=1 t=296158
zheng dao 	掙到	c=0 d=0.1 t=160157
zheng dao qian 	掙到前	c=1 d=1 t=160158
zheng dui 	正對	c=1 d=1 t=326561
zheng duo 	爭奪	c=1 d=1 t=202047
zheng fan mian 	正反面	c=1 d=1 t=570954
zheng fu 	政府	c=17 d=1.68729 t=661743
zheng gai 	整改	c=4 d=2.41365 t=610626
zheng ge 	整個	c=204 d=1 t=744941
zheng ge bu men 	整個部門	c=1 d=1 t=111555
zheng ge cang ku 	整個倉庫	c=1 d=1 t=80311
zheng ge ren 	整個人	c=1 d=1 t=619863
zheng ge shu 	整個書	c=1 d=1 t=290118
zheng ge tuan dui 	整個團隊	c=2 d=1 t=462349
zheng gui 	正規	c=5 d=1.96561 t=670406
zheng gui 	正軌	c=2 d=1 t=710645
zheng hao 	正好	c=7 d=1 t=581910
zheng he 	整合	c=213 d=1 t=743996
zheng he cheng 	整合成	c=1 d=1 t=552433
zheng he he 	整合和	c=1 d=1 t=386193
zheng he shi 	正合適	c=1 d=1 t=618111
zheng he si 	整合死	c=1 d=1 t=530949
zheng hui lai le 	掙回來了	c=1 d=1 t=165725
zheng ji 	徵集	c=2 d=1 t=463089
zheng ji 	政績	c=1 d=1 t=480347
zheng jian 	證件	c=10 d=4.25962 t=624264
zheng jie 	整潔	c=2 d=1.19989 t=643660
zheng ju 	證據	c=1 d=1 t=266836
zheng le 	整了	c=1 d=1 t=488773
zheng lei 	政類	c=1 d=1 t=374609
zheng li 	整理	c=249 d=1 t=736391
zheng li guo 	整理過	c=1 d=1 t=112013
zheng li hao 	整理好	c=1 d=1 t=222909
zheng li hao le 	整理好了	c=1 d=1 t=177218
zheng liang 	鋥亮	c=0 d=0.1 t=42359
zheng liang guo 	鋥亮過	c=1 d=1 t=42360
zheng lun 	爭論	c=14 d=1 t=539927
zheng mian 	正面	c=17 d=1 t=737886
zheng ming 	徵名	c=9 d=1 t=321854
zheng ming 	爭名	c=1 d=1 t=92386
zheng ming 	證明	c=57 d=1 t=737884
zheng ming bai 	整明白	c=1 d=1 t=152911
zheng qian 	掙錢	c=7 d=1 t=695410
zheng qiang 	爭搶	c=1 d=1 t=423923
zheng qiu 	徵求	c=5 d=1.89138 t=731381
zheng qu 	爭取	c=76 d=1 t=744148
zheng quan 	證券	c=29 d=1.75957 t=556865
zheng que 	正確	c=73 d=1 t=745380
zheng que xing 	正確性	c=2 d=1 t=489293
zheng ru 	正如	c=2 d=1 t=680539
zheng shi 	正式	c=246 d=1.81058 t=737955
zheng shi 	正是	c=1 d=1 t=571606
zheng shi ban 	正式版	c=3 d=2.75058 t=496705
zheng shi fa bu 	正式發佈	c=1 d=1 t=325134
zheng shu 	證書	c=32 d=1.99005 t=641443
zheng tao 	整套	c=1 d=1 t=317670
zheng teng 	蒸騰	c=2 d=1 t=544021
zheng ti 	整體	c=347 d=1.36976 t=742651
zheng ti 	正題	c=3 d=1 t=619926
zheng ti shang 	整體上	c=94 d=1 t=738987
zheng tian 	整天	c=5 d=1 t=650431
zheng tong 	正統	c=2 d=1 t=681743
zheng tu 	征途	c=2 d=1 t=473170
zheng tu 	正途	c=1 d=1 t=534530
zheng wei 	政委	c=1 d=1 t=736063
zheng wu 	政務	c=3 d=1.03707 t=580933
zheng wu yun 	政務雲	c=4 d=3.16386 t=581037
zheng xiang 	正向	c=15 d=1 t=594611
zheng xiang 	正想	c=1 d=1 t=547709
zheng yang 	正陽	c=1 d=1 t=646082
zheng yi 	爭議	c=7 d=1 t=594307
zheng yue 	整月	c=1 d=1 t=180110
zheng zai 	正在	c=65 d=2.73468 t=733975
zheng zai gao 	正在搞	c=1 d=1 t=330209
zheng ze 	正則	c=7 d=1 t=582804
zheng zha 	掙扎	c=3 d=1.97045 t=573451
zheng zhan 	整站	c=1 d=1 t=26410
zheng zhi 	政治	c=21 d=1 t=671704
zheng zhi 	整治	c=1 d=1 t=178758
zheng zhi 	爭執	c=4 d=1 t=573443
zheng zhi dou zheng 	政治鬥爭	c=1 d=1 t=554222
zheng zhi jia 	政治家	c=1 d=1 t=468715
zheng zhi ju 	政治局	c=1 d=1 t=639115
zheng zhuang 	症狀	c=14 d=1 t=700915
zheng zong 	正宗	c=1 d=1 t=116245
zhi 	之	c=13 d=1 t=720032
zhi 	值	c=33 d=1 t=738865
zhi 	只	c=336 d=1.04462 t=744848
zhi 	志	c=42 d=1 t=658481
zhi 	指	c=8 d=1 t=672908
zhi 	知	c=1 d=1 t=30572
zhi 	紙	c=1 d=1 t=734269
zhi 	置	c=1 d=1 t=116233
zhi 	職	c=1 d=1 t=217229
zhi 	芝	c=1 d=1 t=153921
zhi 	製	c=2 d=1.99005 t=414267
zhi ban 	值班	c=27 d=1 t=732700
zhi ban hao 	值班號	c=6 d=1.01878 t=567730
zhi ban ren 	值班人	c=1 d=1 t=325226
zhi ben 	之本	c=1 d=1 t=198389
zhi ben 	治本	c=3 d=1 t=692957
zhi bi 	紙幣	c=2 d=1 t=657598
zhi biao 	指標	c=342 d=1.41311 t=745125
zhi biao 	治標	c=4 d=1 t=692951
zhi bing xing 	致病性	c=2 d=1.96561 t=482931
zhi bo 	直播	c=92 d=3.78478 t=738160
zhi bo ling yu 	直播領域	c=1 d=1 t=413169
zhi bu shi 	只不是	c=1 d=1 t=133875
zhi chang 	職場	c=2 d=1.51685 t=197568
zhi cheng 	支撐	c=56 d=1 t=704549
zhi cheng hao 	支撐好	c=1 d=1 t=639830
zhi cheng li 	支撐力	c=6 d=1 t=725705
zhi cheng qi lai 	支撐起來	c=1 d=1 t=495190
zhi chi 	支持	c=2085 d=2.18545 t=744415
zhi chi 	智齒	c=1 d=1 t=38283
zhi chi dao 	支持到	c=3 d=1 t=672463
zhi chi du 	支持度	c=1 d=1 t=252199
zhi chi eng li 	支持嗯裏	c=1 d=1 t=13549
zhi chi hao 	支持好	c=11 d=1 t=680662
zhi chi ma 	支持嗎	c=1 d=1 t=560385
zhi chi shang 	支持上	c=4 d=1 t=693908
zhi chi xia 	支持下	c=1 d=1 t=18410
zhi chi xing 	支持性	c=2 d=1 t=457798
zhi chu 	之初	c=3 d=1 t=510887
zhi chu 	之處	c=12 d=1 t=685419
zhi chu 	指出	c=4 d=1 t=397516
zhi chu 	支出	c=4 d=1.67032 t=732577
zhi chu le 	指出了	c=1 d=1 t=242353
zhi chuan 	直傳	c=1 d=1 t=24147
zhi ci 	致辭	c=5 d=1 t=741615
zhi dao 	指導	c=28 d=1 t=673753
zhi dao 	知道	c=326 d=1.03159 t=735458
zhi dao le 	知道了	c=1 d=1 t=112022
zhi dao si xiang 	指導思想	c=1 d=1 t=603076
zhi dao ta 	知道他	c=2 d=1 t=239763
zhi de 	值得	c=24 d=1 t=687018
zhi de 	指的	c=82 d=1 t=745204
zhi de de 	值得的	c=1 d=1 t=584975
zhi de shi 	指的是	c=6 d=1 t=743966
zhi de xin lai 	值得信賴	c=1 d=1 t=68374
zhi dian 	之巔	c=1 d=1 t=286960
zhi dian 	支點	c=2 d=1 t=742491
zhi ding 	制定	c=46 d=1 t=745365
zhi ding 	指定	c=25 d=1.77708 t=745079
zhi ding 	置頂	c=1 d=1 t=296541
zhi ding zheng ce 	制定政策	c=1 d=1 t=429760
zhi du 	制度	c=5 d=1 t=582885
zhi du 	只讀	c=5 d=1 t=702312
zhi du hua 	制度化	c=1 d=1 t=208382
zhi dui 	只對	c=1 d=1 t=686754
zhi dui 	支隊	c=1 d=1 t=686753
zhi en 	之恩	c=0 d=0.1 t=513103
zhi en na ge 	之恩那個	c=1 d=1 t=513104
zhi er bu li 	质而不俚	c=1 d=1 t=478472
zhi fei 	直飛	c=3 d=1 t=517776
zhi fu 	之父	c=1 d=1 t=300441
zhi fu 	支付	c=34 d=1.95123 t=736940
zhi fu bao 	支付寶	c=36 d=6.03368 t=732555
zhi gan 	只敢	c=2 d=1 t=55957
zhi gei 	只給	c=1 d=1 t=604620
zhi gong 	職工	c=1 d=1 t=732809
zhi guan 	只管	c=1 d=1 t=562830
zhi guan 	直觀	c=15 d=1 t=744989
zhi guan zhong yao 	至關重要	c=1 d=1 t=469269
zhi hang 	直航	c=1 d=1 t=537586
zhi hao 	只好	c=9 d=1 t=624671
zhi hou 	之後	c=1835 d=2.38756 t=744970
zhi hou 	滯後	c=5 d=1 t=653428
zhi hou wo 	之後我	c=1 d=1 t=705412
zhi hu 	知乎	c=20 d=1.43171 t=656641
zhi hu qi ming 	直呼其名	c=1 d=1 t=535987
zhi huan 	置換	c=13 d=1 t=739430
zhi hui 	只會	c=9 d=1 t=727539
zhi hui 	指揮	c=2 d=1.5599 t=658151
zhi hui 	智慧	c=19 d=1 t=727538
zhi hui 	知會	c=6 d=1 t=541924
zhi hui chu xing 	智慧出行	c=1 d=1 t=277619
zhi ji 	之計	c=3 d=1 t=612058
zhi ji 	只記	c=2 d=1 t=29541
zhi ji 	直擊	c=1 d=1 t=217228
zhi ji zhi bi 	知己知彼	c=1 d=1 t=654734
zhi jia dao 	指甲刀	c=1 d=1 t=596396
zhi jian 	之間	c=153 d=1.00468 t=736290
zhi jian 	質檢	c=2 d=1 t=259381
zhi jie 	直接	c=624 d=1.02369 t=745385
zhi jie de 	直接的	c=1 d=1 t=428244
zhi jie ei 	直接誒	c=11 d=1 t=573264
zhi jie fa 	直接發	c=1 d=1 t=171207
zhi jie yong 	直接用	c=8 d=1 t=710805
zhi jie zou 	直接走	c=1 d=1 t=328235
zhi jin 	至今	c=21 d=1 t=496022
zhi jue 	直覺	c=6 d=1 t=743592
zhi kan 	只看	c=8 d=1 t=718792
zhi kao lv 	只考慮	c=1 d=1 t=644310
zhi kun 	志坤	c=9 d=1.00005 t=629221
zhi lai 	只來	c=1 d=1 t=289879
zhi lei 	之類	c=314 d=1.00429 t=744200
zhi lei de 	之類的	c=5 d=1 t=521559
zhi li 	智力	c=2 d=1.98511 t=71529
zhi li 	治理	c=67 d=1 t=738286
zhi li yu 	致力於	c=9 d=1 t=741652
zhi lian 	直連	c=3 d=1.49164 t=479981
zhi liang 	質量	c=280 d=1.1979 t=745357
zhi liang di 	質量低	c=2 d=1.99501 t=481282
zhi liang hao 	質量好	c=1 d=1 t=110393
zhi liang ping tai 	質量平臺	c=1 d=1 t=116092
zhi liao 	治療	c=3 d=1 t=482897
zhi ling 	指令	c=6 d=1 t=718875
zhi lu 	之路	c=1 d=1 t=535891
zhi mian 	直面	c=2 d=1 t=398806
zhi ming 	指明	c=1 d=1 t=88058
zhi ming 	知名	c=2 d=1 t=306562
zhi ming 	致命	c=1 d=1 t=631822
zhi ming dao xing 	指名道姓	c=1 d=1 t=696470
zhi ming du 	知名度	c=1 d=1 t=243659
zhi nan 	指南	c=6 d=1 t=715545
zhi ne ge 	只呢個	c=1 d=1 t=634019
zhi nei 	之內	c=4 d=1 t=511765
zhi neng 	只能	c=144 d=1 t=744951
zhi neng 	智能	c=66 d=1.86502 t=702067
zhi neng 	職能	c=167 d=1 t=744950
zhi neng hua 	智能化	c=32 d=1 t=744332
zhi neng ren shi 	智能人事	c=2 d=1 t=654348
zhi neng xing 	智能型	c=1 d=1 t=421505
zhi neng yun 	職能雲	c=1 d=1 t=383251
zhi nian 	執念	c=2 d=1 t=588185
zhi pai 	指派	c=1 d=1 t=27386
zhi pai 	紙牌	c=1 d=1 t=27379
zhi pei 	支配	c=1 d=1 t=325348
zhi pin 	製品	c=3 d=1 t=499333
zhi pin ku 	製品庫	c=10 d=1 t=543086
zhi qian 	之前	c=2077 d=2.15302 t=745100
zhi qian 	值錢	c=1 d=1 t=165762
zhi qian 	致歉	c=1 d=1 t=429765
zhi qian li 	之前利	c=1 d=1 t=611891
zhi qing 	知情	c=1 d=1 t=294777
zhi quan 	職權	c=2 d=1.42316 t=554614
zhi ruo wang luo 	之若網絡	c=1 d=1 t=428726
zhi ruo wang wen 	置若罔聞	c=2 d=1.75201 t=428786
zhi shang 	之上	c=1 d=1 t=338143
zhi shang 	智商	c=3 d=1 t=700225
zhi shao 	至少	c=85 d=1 t=743535
zhi sheng 	只剩	c=0 d=0.1 t=65436
zhi sheng xia 	只剩下	c=3 d=1 t=510167
zhi sheng yu 	只剩於	c=1 d=1 t=65437
zhi shi 	只是	c=557 d=2.65364 t=744685
zhi shi 	指使	c=2 d=1 t=610070
zhi shi 	指示	c=1 d=1 t=370007
zhi shi 	知識	c=216 d=1 t=744586
zhi shi chan quan 	知識產權	c=1 d=1 t=285109
zhi shi dian 	知識點	c=1 d=1 t=578688
zhi shi ku 	知識庫	c=23 d=1.94176 t=565724
zhi shi mian 	知識面	c=7 d=1 t=565329
zhi shi tu pu 	知識圖譜	c=1 d=1 t=108219
zhi shi wei le 	只是爲了	c=1 d=1 t=572548
zhi shou 	值守	c=0 d=0.1 t=579435
zhi shu 	指數	c=4 d=1 t=624000
zhi shu 	直屬	c=4 d=1 t=679659
zhi shu 	質數	c=1 d=1 t=148894
zhi shuo 	只說	c=2 d=1 t=280387
zhi shuo 	直說	c=2 d=1 t=280361
zhi si 	之死	c=1 d=1 t=677461
zhi suan 	只算	c=1 d=1 t=67382
zhi sun 	止損	c=2 d=1.00165 t=632691
zhi suo yi 	之所以	c=1 d=1 t=137104
zhi ti 	只提	c=1 d=1 t=659457
zhi tong dao he 	志同道合	c=1 d=1 t=734790
zhi wai 	之外	c=96 d=1 t=743468
zhi wang 	指望	c=3 d=1 t=599288
zhi wei 	職位	c=68 d=1 t=704841
zhi wen 	指紋	c=13 d=1 t=626873
zhi wen 	質問	c=1 d=1 t=731414
zhi wu 	職務	c=3 d=1.70472 t=571459
zhi xi guan 	纸吸管	c=1 d=1 t=96062
zhi xia 	之下	c=5 d=1 t=571543
zhi xian 	之嫌	c=1 d=1 t=114430
zhi xian 	只限	c=1 d=1 t=394696
zhi xiang 	只想	c=1 d=1 t=113481
zhi xiang 	指向	c=10 d=1.00024 t=698939
zhi xiang xing 	指向性	c=1 d=1 t=142140
zhi xiang yao 	只想要	c=2 d=1 t=681869
zhi xiao 	知曉	c=10 d=1 t=503085
zhi xie 	只寫	c=1 d=1 t=502528
zhi xie 	致謝	c=1 d=1 t=315742
zhi xin 	置信	c=2 d=0.1 t=413104
zhi xin du 	置信度	c=1 d=1 t=413105
zhi xing 	之星	c=1 d=1 t=383196
zhi xing 	執行	c=382 d=1.26982 t=744626
zhi xing chen nian gang gang 	執行陳年剛剛	c=1 d=1 t=372653
zhi xing dao 	執行到	c=2 d=1 t=700855
zhi xing he yi 	知行合一	c=1 d=1 t=498552
zhi xing hua 	智性化	c=1 d=1 t=662651
zhi xing jie guo 	執行結果	c=1 d=1 t=712519
zhi xing li 	執行力	c=8 d=1 t=597322
zhi xing shi ji 	執行時機	c=1 d=1 t=274851
zhi xing xia qu 	執行下去	c=1 d=1 t=625609
zhi xu yao 	只需要	c=25 d=1 t=736432
zhi xue 	止血	c=1 d=1 t=521378
zhi yang 	製氧	c=1 d=1 t=696261
zhi yao 	只要	c=59 d=1 t=745379
zhi yao bao zheng 	只要保證	c=1 d=1 t=695749
zhi yao shi 	只要是	c=3 d=1 t=620688
zhi ye 	職業	c=31 d=1 t=737180
zhi yi 	之一	c=61 d=1 t=739312
zhi yi 	質疑	c=3 d=1 t=681676
zhi yin 	指引	c=6 d=1 t=628638
zhi yo 	之喲	c=1 d=1 t=44487
zhi yong 	只用	c=4 d=1 t=639994
zhi you 	只有	c=378 d=1.37885 t=741408
zhi you wo 	只有我	c=1 d=1 t=704610
zhi you zai 	只有在	c=1 d=1 t=120447
zhi yu 	之餘	c=6 d=0.1 t=722492
zhi yu 	至於	c=58 d=0.1 t=729376
zhi yu dang qian 	至於當前	c=1 d=1 t=729377
zhi yuan 	志願	c=1 d=1 t=543629
zhi yuan 	支援	c=4 d=1 t=479422
zhi yuan zhe 	志願者	c=4 d=1 t=477981
zhi yue 	制約	c=1 d=1 t=445977
zhi zai 	只在	c=1 d=1 t=179222
zhi zao 	製造	c=4 d=1 t=635210
zhi zao ye 	製造業	c=1 d=1 t=571558
zhi ze 	職責	c=50 d=1.51998 t=717003
zhi zhao 	執照	c=2 d=1 t=613378
zhi zhe 	指着	c=2 d=1 t=561919
zhi zhe jian zhi 	智者見智	c=1 d=1 t=123403
zhi zhen 	指針	c=1 d=1 t=191483
zhi zheng 	執政	c=2 d=1 t=666432
zhi zheng 	指正	c=1 d=1 t=90165
zhi zhi 	制止	c=1 d=1 t=364720
zhi zhi 	紙質	c=2 d=1 t=185675
zhi zhong 	之中	c=1 d=1 t=613812
zhi zhuo 	執着	c=1 d=1 t=461053
zhi zuo 	只做	c=3 d=1 t=700300
zhi zuo 	製作	c=16 d=1 t=734271
zhong 	中	c=620 d=1.51396 t=744690
zhong 	種	c=12 d=1 t=702107
zhong 	衆	c=3 d=1 t=262762
zhong 	重	c=20 d=1.22764 t=744464
zhong 	鍾	c=3 d=1 t=210837
zhong bao 	衆包	c=1 d=1 t=536966
zhong biao 	中標	c=3 d=1 t=409699
zhong bu 	中部	c=2 d=1 t=162502
zhong ce 	衆測	c=6 d=1 t=479374
zhong ceng 	中層	c=2 d=1 t=479375
zhong chang 	中場	c=2 d=1 t=156320
zhong chang qi 	中長期	c=9 d=1 t=642978
zhong cheng 	忠誠	c=1 d=1 t=292827
zhong chou 	衆籌	c=1 d=1 t=554413
zhong da 	重大	c=2 d=1 t=459712
zhong dan 	重擔	c=1 d=1 t=473971
zhong deng 	中等	c=7 d=1 t=604738
zhong dian 	重點	c=375 d=1 t=740616
zhong dian gong zuo 	重點工作	c=1 d=1 t=674936
zhong dian shi 	重點是	c=7 d=1 t=735526
zhong dian shi sha 	重點是啥	c=1 d=1 t=354817
zhong dian xiang mu 	重點項目	c=3 d=1 t=672320
zhong dong 	中東	c=1 d=1 t=153725
zhong du 	中毒	c=1 d=1 t=282550
zhong du 	重度	c=1 d=1 t=282551
zhong duan 	中斷	c=1 d=1 t=370001
zhong duan 	終端	c=21 d=1.47711 t=669168
zhong duan qi 	中短期	c=2 d=1 t=448178
zhong duo 	衆多	c=3 d=1 t=714842
zhong er 	中耳	c=1 d=1 t=561567
zhong feng xian 	中风险	c=1 d=1 t=230278
zhong fu ze 	中負責	c=1 d=1 t=194357
zhong gao 	中高	c=1 d=1 t=320555
zhong guan cun 	中關村	c=6 d=2.92196 t=320869
zhong gui zhong ju 	中規中矩	c=4 d=1 t=597420
zhong guo 	中國	c=81 d=1.57121 t=732721
zhong guo qu 	中國區	c=9 d=1.95123 t=642741
zhong guo ren 	中國人	c=1 d=1 t=134294
zhong guo wu 	中國無	c=1 d=1 t=545847
zhong hang 	中航	c=8 d=1.32997 t=401393
zhong hou tai 	中後臺	c=75 d=1 t=656064
zhong hua 	中華	c=0 d=0.1 t=376361
zhong hua ren min 	中華人民	c=1 d=1 t=376362
zhong ji 	終極	c=2 d=1 t=675808
zhong jian 	中堅	c=2 d=1 t=174372
zhong jian 	中間	c=31 d=1 t=717875
zhong jian ce 	中檢測	c=1 d=1 t=430402
zhong jian ceng 	中間層	c=9 d=1 t=700052
zhong jian jian 	中間件	c=29 d=1.77448 t=609015
zhong jian zhuang tai 	中間狀態	c=1 d=1 t=671255
zhong jie 	中介	c=6 d=1.9802 t=624758
zhong jie fei 	中介費	c=1 d=1 t=249697
zhong ke da 	中科大	c=3 d=1 t=151906
zhong ke yi 	中可以	c=1 d=1 t=7055
zhong ken 	中肯	c=5 d=1 t=588163
zhong kou nan tiao 	衆口難調	c=1 d=1 t=262009
zhong lai 	中來	c=2 d=1 t=633453
zhong lei 	種類	c=1 d=1 t=680445
zhong li 	中立	c=14 d=1 t=536381
zhong liang ji 	重量級	c=1 d=1 t=282497
zhong liu 	腫瘤	c=1 d=1 t=66886
zhong mei 	中美	c=3 d=1 t=471008
